Продукт,Точність часу,Рейтинг популярності,Ціна,Тривалість роботи від батареї,Вага,Водостійкість,Вартість ремонту,Зручність використання,Екологічний вплив,Час доставки,Ефективність
Casio-GA-2100,0.6428571428571429,0.8421052631578947,0.5,1.0,0.5,0.4166666666666667,0.6,0.6666666666666666,0.1,0.6428571428571429,0.5911152882205514
Casio-A168WA,0.7142857142857143,0.8947368421052632,0.4,0.5,0.42857142857142855,0.45454545454545453,0.5,0.5,0.1111111111111111,0.6923076923076923,0.5195558242926663
Casio-F91W,0.5714285714285714,0.7894736842105263,0.3333333333333333,0.4,0.6,0.5,0.42857142857142855,1.0,0.09090909090909091,0.75,0.5463716108452951
Casio-GW-M5610,0.8571428571428571,0.9473684210526315,0.6666666666666666,0.2857142857142857,0.375,0.5555555555555556,0.75,0.3333333333333333,0.125,0.6,0.5495781119465329
Casio-AE-1200,0.7857142857142857,0.7368421052631579,1.0,0.25,0.3333333333333333,0.38461538461538464,1.0,0.4,0.14285714285714285,0.5625,0.5595862251783305
Casio-Edifice,1.0,1.0,0.2857142857142857,0.6666666666666666,0.75,0.8333333333333334,0.375,0.5,0.2,0.5294117647058824,0.6140126050420168
Casio-ProTrek,0.9285714285714286,0.8947368421052632,0.25,0.3333333333333333,0.6,0.7142857142857143,0.5,0.2857142857142857,0.25,0.5,0.5256641604010025
Casio-G-Shock,0.42857142857142855,0.631578947368421,0.5,0.4,0.5,0.625,0.6,0.25,0.3333333333333333,0.9,0.5168483709273184
Casio-MT-G,0.35714285714285715,0.5789473684210527,0.6666666666666666,1.0,0.75,1.0,0.75,0.2222222222222222,0.5,1.0,0.6824979114452799
Casio-Oceanus,0.5,0.6842105263157895,0.4,0.5,1.0,0.5,0.42857142857142855,0.6666666666666666,1.0,0.8181818181818182,0.6497630439735703
